Scheme,Kind,Rep,AUC,N_train,N_holdout,Extra
Exact,rep,17,1.0,15,8,train=24;42;46;56;59;60;61;65;74;78;88;109;120;132;147|holdout=5;7;58;79;100;118;138;151
Exact,rep,18,0.9916666666666667,15,8,train=5;24;46;56;58;59;60;61;65;74;78;79;88;120;138|holdout=7;42;100;109;118;132;147;151
Exact,rep,19,1.0,15,8,train=5;7;42;46;56;59;65;74;78;79;88;118;120;138;151|holdout=24;58;60;61;100;109;132;147
Exact,rep,20,0.9583333333333334,15,8,train=5;7;24;46;58;59;60;61;74;88;109;120;132;138;147|holdout=42;56;65;78;79;100;118;151
Exact,rep,21,0.95,15,8,train=7;42;56;59;60;61;65;74;78;88;100;120;138;147;151|holdout=5;24;46;58;79;109;118;132
Exact,rep,22,0.9833333333333333,15,8,train=5;7;24;42;46;58;59;65;74;78;109;120;132;147;151|holdout=56;60;61;79;88;100;118;138
Exact,rep,23,0.9833333333333333,15,8,train=5;7;46;56;58;59;60;61;74;88;100;109;118;120;147|holdout=24;42;65;78;79;132;138;151
Exact,rep,24,0.95,15,8,train=5;7;42;46;59;60;61;65;78;79;100;109;132;138;147|holdout=24;56;58;74;88;118;120;151
Exact,rep,25,0.9416666666666667,15,8,train=7;42;46;56;60;61;65;74;78;79;100;109;118;120;147|holdout=5;24;58;59;88;132;138;151
Exact,rep,26,0.9833333333333333,15,8,train=5;24;46;58;59;61;65;79;100;118;120;132;138;147;151|holdout=7;42;56;60;74;78;88;109
Exact,rep,27,0.9916666666666667,15,8,train=5;7;24;42;58;59;60;61;65;88;118;120;132;147;151|holdout=46;56;74;78;79;100;109;138
Exact,rep,28,1.0,15,8,train=5;24;46;56;59;65;74;88;100;109;118;132;138;147;151|holdout=7;42;58;60;61;78;79;120
Exact,rep,29,0.9833333333333333,15,8,train=5;7;24;46;56;60;61;74;78;79;100;109;132;138;147|holdout=42;58;59;65;88;118;120;151
Exact,rep,30,0.9666666666666667,15,8,train=5;7;24;58;59;60;61;74;78;79;100;109;138;147;151|holdout=42;46;56;65;88;118;120;132
Exact,rep,31,1.0,15,8,train=5;24;42;46;56;58;61;78;79;88;100;109;120;132;147|holdout=7;59;60;65;74;118;138;151
Exact,rep,32,1.0,15,8,train=5;7;42;46;58;59;60;61;65;74;79;88;100;118;138|holdout=24;56;78;109;120;132;147;151
Exact,rep,33,1.0,15,8,train=7;42;46;56;58;60;61;65;78;79;100;109;118;132;147|holdout=5;24;59;74;88;120;138;151
Exact,rep,34,0.975,15,8,train=7;46;56;58;59;60;61;65;74;79;88;109;118;138;147|holdout=5;24;42;78;100;120;132;151
Exact,rep,35,0.9916666666666667,15,8,train=5;7;24;42;46;56;58;61;65;74;78;88;109;118;120|holdout=59;60;79;100;132;138;147;151
Exact,rep,36,0.9916666666666667,15,8,train=24;46;56;61;65;74;78;79;88;100;118;120;132;138;151|holdout=5;7;42;58;59;60;109;147
Exact,rep,37,1.0,15,8,train=5;24;46;56;58;59;60;61;65;74;78;79;109;118;132|holdout=7;42;88;100;120;138;147;151
Exact,rep,38,1.0,15,8,train=5;46;56;58;60;65;74;78;88;100;120;132;138;147;151|holdout=7;24;42;59;61;79;109;118
Exact,rep,39,1.0,15,8,train=5;7;24;56;58;59;61;65;78;79;88;100;109;120;132|holdout=42;46;60;74;118;138;147;151
Exact,rep,40,0.9333333333333333,15,8,train=7;24;46;59;60;65;74;79;100;109;118;132;138;147;151|holdout=5;42;56;58;61;78;88;120
Exact,summary,mean_auc,0.9845833333333334,,,
Exact,summary,sd_auc,0.018638677123129877,,,
Exact,summary,se_final,0.002947033614078252,,,
Exact,summary,p05,0.9495833333333332,,,
Exact,summary,p50,0.9916666666666667,,,
Exact,summary,p95,1.0,,,
Exact,summary,frac_auc_eq_1,0.4,,,
Exact,summary,frac_auc_gt_0.9,1.0,,,
Exact,summary,min_auc,0.9333333333333333,,,
Exact,summary,max_auc,1.0,,,
Exact,summary,final_R,40.0,,,
